,coin_name,symbol,description,total_coin_supply,algorithm,proof,start_date,total_coins_mined,exchanges
1984,Etheriya,RIYA,"Etheriya is aiming to provide a decentralized digital marketplace for auctioning of both digital and physical goods and services for everyone around the world.All products and services will be traded on Etheriya Auction platform, except those considered to be illegal, destructive or harmful to the planet.",1861532,,,20/06/2017,1861531.786134,"CCEX, EtherDelta, Cryptopia"
1985,Neurocoin,NRC,NeuroCoin is a Proof of Stake v2 cryptocurrency based on Blackcoin.,,PoS,PoS,23/07/2015,,Yobit
1986,Guaranteed Entrance Token,GET,"The Guaranteed Entrance Token (GET) Protocol, initiated by GUTS Tickets, is a smart ticketing protocol that facilitates the sale of tickets by issuing smart tickets to wallet addresses on the blockchain. The GET team vision is that end-users do not need any technical knowledge in order to use the platform. With this in mind, GUTS has facilitated many events with its application over the last year and has actually sold thousands of real-world tickets in The Netherlands. Together with industry advisers such as manager of No. 1 DJ in the World of Martin Garrix and booker of Adèle the GET team plan to build an honest and transparent ticketing industry.The GET token is an ERC-20 token that will be used to purchase event&#39;s tickets.",33368773,,,22/08/2017,13523852.45,Novaexchange
1987,ArcticCoin,ARC,ArcticCoin is a PoW cryptocurrency based on the X11 algorithm. It has a 60M supply.,60000000,X11,PoW,24/07/2014,24628503.60864696,"LiveCoin, Cryptopia, CCEX, EtherDelta"
1988,WhaleCoin,WHL,"Whalecoin is a decentralized social network that supports several types of roles and notably the “Whale” role which is given to any user who holds at least 1,000 tokens. Whales have the power to send upvotes to other users. The Whalecoin is a Proof of Work cryptocurrency based on the Ethash algorithm.  The Whalecoin blockchain will pay users a portion of the mined block reward based on how many upvotes a user receives from the Whales.",,Ethash,PoW,28/08/2017,2300492.0,
1989,BitBay,BAY,"BitBay is a Proof of Stake cryptocurrency with a 1% APY in staking rewards. BitBay provides many additional tools like smart-contract capabilities, an in-wallet decentralized e-commerce platform, ""Pay-to-Email"" transactions, asset pegging and more.",,,PoS,07/11/2014,1009365025.1719757,"CCEX, BTER, BitTrex, Cryptopia"
1990,Black Pearl Coin,XBP,Black Pearl Coin is a Proof of Work/Proof of Stake cryptocurrency based on the X13 algorithm.,50000000,X13,PoW/PoS,01/01/0001,,CCEX
1991,ICO OpenLedger,ICOO,"ICOO wants to build a platform that allows user to invest in multiple ICO&#39;s under one account in a DAO system. OpenLedger users who participate in ICOO associated crowdsales and pledge 15 Bitcoin or more will receive badges that grant special privileges on the OpenLedger platform. Whether it is access to discounted advertising or discounted goods and services from the Decentralized Conglomerate, any user who gets a badge will get life-time privileges for the OpenLedger platform.",472649,,,01/01/0001,465952.0,
1992,TrueInvestmentCoin,TIC,"True investment coin is an investment platform, for the development of agrotouristic clusters around the world. TrueInvestmentCoin is a PoW/PoS coin based on the scrypt algorithm.",53200000,Scrypt,PoW/PoS,01/01/0001,,"Novaexchange, Cryptopia"
1993,Neblio,NEBL,"The Neblio Platform wants to provide fully open source APIs, tools, and services needed by business and enterprises to rapidly develop and deploy distributed applications. Replacing legacy database applications with truly scalable and reliable distributed applications through the development of familiar and easy to use API abstraction layers is the goal of the Neblio Platform.",,,,06/08/2017,13501362.971971631,"Kucoin, Binance, Cryptopia, HitBTC"
1994,SoulCoin,SOUL,"Soulcoin enables low cost transfers, faster confirmation time and improved storage efficiency.",1400000000,Scrypt,PoW/PoS,10/03/2015,,Yobit
1995,Safinus,SAF,"Saifus is a cryptocurrency and ICO investment platform that aims to make cryptocurrency investments accessible to a wide audience of newcomers, while at the same time allowing experienced investors and market professionals to greatly increase their earnings. The SAF Token is a utility ERC20 token that will be used to access the Safinus platform. ",1200000,,,01/01/0001,,
1996,Bowhead Health,AHT*,"Bowhead is a company with a team of medical doctors, biochemistry and data scientists, software and robotics engineers, designers and wellness coaches.By using Blockchain, health records can be inter-operable across different platforms, hospital systems and services, while remaining secure and up to date.Bowhead believes that health data is some of the most valuable data in the world. Bowhead will use anonymized customer health data to add value, while ensuring data is protected using cryptography. Customers gain access to healthcare and may also benefit financially by leasing access to their data in an anonymized manner.",100000000,,,30/06/2017,100000000.0,
1997,SwftCoin,SWFTC,SwftCoin is an ERC-20 token based on the Ethereum blockchain developed and operated by the Silicon Valley team.,10000000000,,,25/10/2017,,"OKEX, HuobiPro, HitBTC, EtherDelta"
1998,Hush,HUSH,"Hush is a private implementation of the ""Zerocash"" protocol forked from Zcash. Based on Bitcoin&#39;s code, it intends to offer a far higher standard of privacy through a sophisticated zero-knowledge proving scheme that preserves confidentiality of transaction metadata. ",21000000,Equihash,PoW,21/11/2016,0.0,Cryptopia
1999,BattleStake,BSTK,BattleStake is a Proof of Stake cryptocurrency with a variable staking reward of 20-60% APY. ,,PoS,PoS,10/09/2015,,Yobit
2000,Indorse,IND,"Indorse is a platform using new models of tokenization and decentralization to change the shape of professional social networking.Indorse uses internal rewards (Indorse Rewards) and a reputation system (Indorse Score) to incentivize members to add their skills / accomplishments and indorse those of others.The core features of the Indorse platform will be implemented through the combination of a few technologies, which include Ethereum, IPFS/Swarm, and Whisper. The Indorse platform will have a serverless, decentralized architecture, with the content and code on IPFS, and the Ethereum blockchain as the computational engine.",170622047,,,01/01/0001,170622046.99999997,"Liqui, Yobit, HitBTC, Gatecoin, EtherDelta"
2001,FuturePoints,FTP,"FuturePoints is a free open source project derived from NovaCoin, it&#39;s a X11 cryptocurrency with a PoS consensus mechanism.",360000000,X11,PoS,15/07/2016,,BTER
2002,SharkCoin,SAK,SharkCoin is a anti-scam cryptocurrency based on Bitcoin. SHAK can be sent anywhere for a small fee an almost instantly.,400000000,SHA256,PoW,06/06/2016,,"Cryptopia, Yobit"
2003,Dentacoin,DCN,Dentacoin is the first Blockchain concept designed for the Global Dental Industry. The Dentacoin ERC20 token is configured to be used globally by all individuals. ,8000000000000,,,01/06/2017,303095254787.0,"Novaexchange, HitBTC, Cryptopia"
2004,Sprouts,SPRTS,Sprouts is an SHA256D based hybrid proof of work and proof of stake crypto currency.,0,SHA256,PoW/PoS,30/06/2015,,"Cryptopia, BitTrex, Cryptsy"
2005,The Hempcoin,THC,The Hempcoin is a Scrypt Proof of Work/Proof of Stake cryptocurrency for the hemp community.,250000000,Scrypt,PoW/PoS,09/03/2014,230478759.762653,"Novaexchange, BitTrex"
2006,Circuits of Value,COVAL,"Circuits of Value is a rewards program supported by block chain technology. Buyers and sellers transacting in goods and services or giving charitable donations in any currency earn RibbitRewards. No matter what currency you are transacting in, the more you buy, sell, or donate on Marketplace.Life or other participating merchant sites, the more COVAL you can earn.",1000000000,Multiple,PoW,14/11/2014,1000000000.0,BitTrex
2007,ArkDAO,BOTS,"ArkDAO is a decentalized application built on Ethereum where users can list newly created cryptocurrencies for a 1 ETH antispam fee, and where the community can easy find them in real time manually, or via smart contract. ARK is the first Collaborative Market - A group of microeconomical actors joining together to offer a service to the public, all ruled by a trustless smart contract.When someone lists a new coin, the fee will be paid to one of the BOT holders. A trustless multiplexer pointer then redirects the next user to another bot randomly, until all the all BOTs have received been ""used"" and the cycle restarts. ",,,,08/08/2016,0.0,
2008,TeCoin,TEC,"TeCoin is a Proof of Work cryptocurrency that combines SHA-256, Keccak-512, Grøestl-512, BLAKE-512 in a secure way.",469521976,Multiple,PoW,01/01/0001,,Yobit
2009,AvonCoin,ACN,"AvonCoin is a pure PoS coin which generates coins through PoS blocks. Except the first block where it generates the initial 100 million coins, no PoW mining will get any coins. The 1 billion coins were distributed equally to 1000 individuals with 100,000 coin each, completely free.",1000000000,PoS,PoS,01/01/0001,,"CCEX, LiveCoin"
2010,Xcash,XCASH,"xCash is a unique and rare altcoin that offers stealth at all times. It not only hides where the xCash is going to, but also where it came from, making it impossible to trace transactions through the block chain. The coin is a scrypt altcoin with a proof of stake rate a 5% per annum.",2400000,Scrypt,PoW/PoS,01/09/2014,0.0,"Cryptsy, BitTrex"
2011,Esports.com,ERT,"Esports.com is an Ethereum based platform where gamers and gaming fans are able to share, curate and enjoy content together or participate in and contribute to events. The one-stop service platform is slipt in 3 mains branches: education, entertainment, and statistics. Users can participate in creating content for these areas by writing guides or producing videos.Esports.com platform is powered by the Esports Reward Tokens (ERT) which is used to pay for training, acquiring in-game items, hardware merchandising, unlocking the premium subscription tiers, rewards for creating content and unlocking exclusive content. ",60000000,,,16/08/2017,,CCEX
2012,Versa Token,VERSA,"Versa or Universal Token, is designed to store any type of data making it an ideal platform for a wide range of applications, including financial systems, medical records, supply chain management, voting systems, property titles, legal applications, and much more. Versa allows applications and users to create their own blockchains, which are just whatever data they wish to track. Those chains are secured by hashing them together with all the other data from other users, and a single hash is written to the Versa blockchain.",0,,PoS,06/07/2015,,CCEX
2013,Emercoin,EMC,"Hybrid of NameCoin and PPCoin. More focused on the production of coins by PoS than PoW. Mining has a bonus on the interval 1-512 difficulty for high initial issue of coins. Further difficulty will gradually increase, making PoS mining more promising.Emercoin offers a 6% annual POS reward with 30 day coin maturity.Coin added by @chopcoin Team",1000000000,SHA256,PoW/PoS,08/12/2013,41237101.481054,"Cryptopia, BTC38, LiveCoin, BitTrex, HitBTC, Yobit, TuxExchange"
2014,MudraCoin,MUDRA,MudraCoin is a Proof of Stake cryptocurrency that uses the x13 hashing algorithm. MUDRA can be sent anywhere almost instantly and for a low fee,200000000,X13,PoS,01/08/2016,5000000.0,CCEX
2015,CleverHash,CHASH,Cleverhash was a fund raising technique for a cloud mining based firm.,0,,,24/10/2014,,BitTrex
2016,Qvolta,QVT,"Qvolta is a global P2P exchange platform that allows users to quickly and easily convert cryptocurrencies into the fiat currencies, and vice versa. Qvolta will provide individuals a reliable and convenient platform to quickly buy or sell cryptocurrencies with help of the most popular payment methods for the fiat currencies available in the country of his/her residence. In order to ensure the best user experience as well as protect the users, Qvolta will act as a guarantor for the trades executed on the platform. Security will further be provided by services as Qvolta Wall and Qvolta Security.",21600000 ,,,10/10/2017,21600000.0,"OKEX, EtherDelta, HitBTC"
2017,StarCoin,STR*,"STARCOIN (STR) is a litecoin clone based on the Scrypt protocol - however it is a hybrid with PoW/PoS and a 30 second block time. 4 confirmations are needed for transactions and 70 for a matured mining block. Mining subsidy or reward halves every year and difficulty retargets every block. The starting block reward was set to 100 STR and, as well as transaction messaging, there are also super blocks.",227334008,Scrypt,PoW/PoS,19/07/2013,,Cryptsy
2018,Aiden,ADN,Aiden is a cryptocurrency designed for GPU Miners. ADN uses Scrypt-OG algorithm developed from Scrypt and optmizied for GPU (OG).,84000000,ScryptOG,PoW,17/07/2015,84000000.0,Poloniex
2019,Monkey Project,MONK,"Monkey Project is a PoW/PoS cryptocurrency based on the X11 algorithm. It was designed to make Proof of Stake possible for everyone, featuring high staking rewards.",100000000,X11,PoW/PoS,01/01/0001,354449.0,Cryptopia
2020,Interstellar Holdings,HOLD,Interstellar Holdings is a PoS cryptocurrency based on Scrypt algorithm. Its primary focus is to be used as a private investment fund.,1970000000,Scrypt,PoS,04/11/2017,153006793.34679875,Cryptopia
2021,Synereo,AMP,"AMPs, Synereo’s content flow currency, serve as a way to Amplify the flow of information in the network. AMPing content increases its ability to propagate to peers and the chances of it being seen by more users. This gives them an inherent market value, as any business or individual wishing to bring information to your attention non-organically has to pay you with AMPs for it.Value The AMP is unlike any other cryptocurrency, as it is backed by a commodity for which there is always demand and that can be purchased only with AMPs - the attention of its users.Read more about Synereo’s crypto-token, the AMP, and why it has an inherent use and value on the Synereo network. Value Appreciation As users join the network, AMPs become more effective in acquiring attention. A similar amount of AMPs on the more mature and larger network will allow a piece of content to reach the attention of more users on it, increasing the value of each AMP.As well, a larger user base generates more interaction and content in circulation, increasing the total amount of attention  allocated to, and available on, Synereo.As Synereo functions as a platform for new applications and markets, AMPs may eventually become a de-facto currency.Extensibility Synereo enables a new wave of distributed applications that piggyback on the social platform and its user base.  Music streaming, content distribution, distributed marketplaces, collaborative platforms, and many other applications  can all take advantage of Synereo’s fully decentralized and distributed technology and deploy systems that truly benefit both  businesses and end users while removing the need for any middleman.Synereo is open-source and very modular, designed for rich extensibility. AMPs can power the delivery of any content across this distributed cloud and the apps running on top of it. ",927786732.665189,,Pow/PoSC,19/03/2016,82256324.0,"CCEX, BitTrex, HitBTC, Cryptopia, Poloniex"
2022,Anacrypt,ANCP,ANCP is an Ethereum-based token created for members of the Anarcrypt facebook group to be able learn how ERC20 tokens and wallets work as well as fostering a sense of community. ,10000,,,01/01/0001,10000.0,
2023,DollarOnline,DLR,DollarOnline is a X11 PoW/PoS cryptocurrency with a 20% APY in staking rewards.,1000000000,X11,PoW/PoS,22/11/2016,,
2024,808,808,"808 is a coin develop for the music community as a tribute to the TR-808 Rhythm Composer, also known as the ""808"", one of the first programmable drum machines. 808 is a Proof of Work/Proof of Stake hybrid and uses the SHA256 hashing algorithm.",,SHA256,PoW/PoS,30/06/2016,10274816160.49167,"Cryptopia, Novaexchange"
2025,Index ERC20,ERC20,"ERC20 Index is a tokenized index of cryptocurrency which tracks and invests in the 20-top ERC20 tokens. Weekly, profits are distributed in Ether between the top-20 holders of a ERC20 token.",12079767119,,,23/10/2017,12079767119.0,EtherDelta
2026,Decred,DCR,"Decred is an open, progressive, and self-funding cryptocurrency with a system of community-based governance integrated into its blockchain. At its core is a hybridized proof-of-work proof-of-stake (PoW/PoS) consensus system that aims to strike a balance between PoW miners and PoS voters to create a more robust notion of consensus. The project is a result of the theoretical proposals brought by proof-of-activity (PoA) and MC2 in 2013. Decred development started in April, 2014 with a single developer and expanded to include developers from btcsuite shortly thereafter.Decred is built in the spirit of open participation and we have provided below a full disclosure of the technical features of the system, wallets and mining, initial funding and distribution, project governance and development, and a group contribution timeline.Decred opted for a different funding model in an attempt to shift the risk carried by supporters to the developers of the project. Instead of asking interested parties to fund the development of the software, the developers decided to pool funds together and carry the project to completion before making it public. The consensus was that this is an ethical path given the realities of funding software development, due to the fact that the developers alone carry the risk of the project failing, whereas in the past potential users were expected to pay for coins before any code was written. We felt this was unjust.The development of Decred was funded by Company 0 and from the pockets of its developers individually. The cost of developing the project, in terms of developer pay, totals to approximately USD 250,000, which Company 0 paid to developers. An additional amount of approximately USD 165,000 has been allocated for unpaid work and individual purchases by developers. We felt that the most equitable way to handle compensation for these expenses was to perform a small premine as part of the project launch. The model is unusual in that no developer received any amount of coins for free - all coins owned by developers will either be purchased at a rate of USD 0.49 per coin from their own pockets or exchanged for work performed at the same rate.The premine consists of 8% of the total supply of 21 million coins, meaning the premine consists of 1.68 million coins. Rather than allocating the entire premine to the bring-up costs, we decided to split the premine equally between compensation for bring-up and an ""airdrop"", where we freely give an equal amount of coins to a number of airdrop participants. This means Company 0 and its developers will have put roughly USD 415,000 into the bring-up since April, 2014 and receive 4% of the total supply, 840,000 coins (at USD 0.49 per coin). The remaining 4% will be spread evenly across a list of airdrop participants as part of an effort to build the Decred network and decentralize its distribution.  Coins held by Company 0 will be used to fund its ongoing work on open-source projects, such as Decred and btcsuite.Giving away these coins in an airdrop allows us to accomplish several things at once for the project: enlarge the Decred network, further help decentralize the distribution of coins, and allow us to get coins into the hands of people who are interested in participating in the project. Decred is fundamentally about technological progress, so the airdrop will target individuals that have made contributions to advance technology in its various forms. The maximum number of airdrop participants is capped at 5,000 individuals, so we recommend registering sooner rather than later. These coins will be given away unconditionally and there is zero expectation of Decred receiving anything from you in return for these coins.Sign up for the airdrop is currently open, but the airdrop registration will commence on January 4th, 2016. People who have been selected to participate in the airdrop will receive an email that contains a link to a web registration form. This form will require airdrop participants to enter an address to which their coins can be sent. Binaries and source code will be made available so that you can generate a wallet seed and an address for your airdrop coins. Once you have entered your receiving address into the airdrop webform and submitted it, you will receive your coins on the projected launch date.",21000000,BLAKE256,PoW/PoS,08/02/2016,6633097.0,"Cryptopia, CCEX, Novaexchange, Bleutrade, Yobit, BitTrex, BitSquare, TuxExchange, Poloniex"
2027,Sigil,SGL,"Sigil is a new and revolutionary cryptocurrency that embodies the twin ideals of security and efficiency. It incorporates the best features of both Proof of Work and Proof of Stake mining, supports multiple algorithms, and achieves enhanced security through its implementation of advanced checkpointing and retargeting throughout.",50000000,NeoScrypt,PoW,08/01/2018,3165990.0,
2028,Bottos,BTO,Bottos is an Ethereum-based AI data sharing network. BTO is an ERC20 token powering Bottos&#39; network.  ,1000000000,,,07/11/2017,1000000000.0,Gateio
2029,WeAreSatoshi,WSX,"WeAreSatoshi is a Pow/PoS cryptocurrency based on the X11 algorithm, created to remind everyone that each of us can make a difference in the world and to promote a sense of giving, care, and compassion within the Bitcoin community.",,X11,PoW/PoS,15/08/2014,,Cryptopia
2030,Ignis,IGNIS,"Jelurida, the company behind NXT, is building Ardor as a next-gen version of NXT. The platform will feature child chains as a service, the first of which will be Ignis which will se IGNIS for its operations. All of the existing and well tested Nxt blockchain features will be available on the Ignis child chain, with multiple Ardor platform specific enhancements being added.",,,,05/08/2017,,HitBTC
2031,Monkey,MNY,"Monkey Capital is a Value CoEval, a collective non-incorporated entity which is represented by two or more independent parties which agree to sell a minority stake in their respective incorporated entities to the management company of the projects they undertake to invest in together and which is managed exclusively for the purpose of generating their own private capital returns. MNY is a Waves-based token that offers holders a Proof-of-Membership stake in the Monkey Capital Value Coeval.",1000000000,,,08/08/2017,0.0,WavesDEX
2032,Prospectors,PGL,"Prospectors is an economic multi-player real-time strategy with the real trading and economic relations. Game events happen in the world that resembles Earth in the middle of the 19th century, in the epoch of the initial capital formation.The main peculiarity of Prospectors, will be the possibility of monetizing the time spent in the game. In other words, players will be able to not only enjoy the game but earn on it as well. One will be able to convert the gold made in the game into real money.",220000000,,,01/01/0001,,EtherDelta
2033,Spreadcoin,SPR,"SpreadCoin is a new cryptocurrency which is more decentralized than Bitcoin. It prevents centralization of hashing power in pools, which is one of the main concerns of Bitcoin security. SpreadCoin was fairly launched with no premine.",20000000,X11,PoW,30/07/2014,9481176.5322751,"Cryptopia, Yobit, CCEX, BitTrex"
2034,RocketCoin ,ROCK*,"RocketICO is an online startup accelerator based on the principles of Decentralized Autonomous Organizations (DAOs). ROCK is an ERC20 token that gives its holders access to platform&#39;s built-in tools and benefits, along with voting rights. ",25000000,,,15/11/2017,,
2035,Ucoin,U,"UCoin is a Proof of Work/Proof of Stake cryptocurrency using the x11 algorithm. it has a 20M supply and a 1 minute block time. The U stands for ""Usable"". Ucoin is a usable and user-friendly digital currency. This coin has been created not only for ""geeks"" and advanced users, but also for ordinary users. UCoin is usable and userfriendly digital currency. This coin has been created not only for ""geeks"", for advanced use, but even for ordinary users. ",20000000,X11,PoS,25/03/2015,2689812.0,"EtherDelta, CCEX, Yobit, BitTrex"
2036,LeninCoin,LENIN,LeninCoin is a PoW ,100000000,SHA256D,PoW,24/01/2017,,Yobit
2037,Carboncoin,CARBON,"Carboncoin was created with a clear purpose: to fund and facilitate the fight against the climate change and envioremental damage caused by human beings and corporations. Being a enviroment-friendly coin itself, the CARBON blockchain can be maintained wth a low global hashrate.",16000000000,Scrypt,PoW,11/02/2014,15392015045.055008,"Yobit, Coinse"
2038,ICON Project,ICX,"The ICON Project is a decentralized transactions network. The ICON Project aims to connect independent blockchains with different governance, so that they can transact with one another without intermediaries. ICX is a loopchain-based smart contract digital protocol that facilitates, verifies, and enacts a negotiated agreement between consenting parties within ICON.",400230000,,LFT,24/10/2017,400230000.0,"OKEX, HuobiPro, Binance, HitBTC, Gateio"
2039,Utility Coin,UTIL,Utility coin is an X13 proof of work and proof of stake hybrid. The proof of stake rate is set to 20% per annum.,0,X13,PoW/PoS,26/09/2014,0.0,"Cryptsy, BitTrex"
2040,Neuro,NRO,"Neuro is a scientific-technical project uniting scientists, engineers and programmers. From the first stages of work, we will be engaged in the development of new architectures and algorithms of neural networks. Someday we will undoubtedly enter the annual ImageNet Challenge contest to compete with such giants as GoogLeNet Inception and Microsoft ResNet.Proof-of-Stake + Proof-of-Work miningProof-of-Storage is under construction",20000000,SHA256,PoW/PoS,30/05/2017,,
2041,Sether,SETH,"Sether is a platform that provides blockchain integration with social network APIs, allowing companies to get information, analyse and monitor social networks. The SETH token is a standard ERC20 token that can be used by multiple wallets and trading platforms. The token will be used as the only currency for interacting with the Sether platform.",100000000,,,04/12/2017,,
2042,Alqo,ALQO,Alqo is a Proof of Work/Proof of Stake cryptocurrency based on the Quark algorithm. Alqo features a second layer network of masternodes that provide near-instant and private transactions.,57879300,Quark,PoW/PoS,30/10/2017,15808391.0,
2043,X8Currency,X8X,"The X8Currency is an Ethereum-based token that uses a combination of 8 fiat currency baskets and gold to provide a stable value. It is stable and exchangeable directly at the issuer, offering distributed exchanges a suitable solution for fiat exit point. ",100000000,,,06/12/2017,,
2044,NXTTY,NXTTY,"Nxtty is free to download plus messaging and calls are free for everyone. All messages are encrypted from app to app, so your messages are safe and secure. A free privacy focussed crypto run forum or whatsapp.",0,,,12/08/2014,,BTER
2045,GorillaBucks,BUCKS*,Bucks or Gorilla Bucks is part of the Gorilla network. An innovative and well thought through new Crypto although experimental.,0,,PoS,13/05/2015,,
2046,PayPie,PPP,"PayPie is an Ethereum based accounting platform for risk score analysis.PPP Token is the utility token which provides access to the PayPie platform for certain transactions and services, including the purchase of invoices and access to credit histories of small and medium-sized enterprises (SMEs)",165000000,,,02/08/2017,165000000.0,EtherDelta
2047,Tronix,TRX,"Tron is a blockchain-based protocol for a free content entertainment system, allowing  each user to freely publish, store and own data, and in the decentralized autonomous form, decides the distribution, subscription and push of contents and enables content creators by releasing, circulating and dealing with digital assets, thus forming a decentralized content entertainment ecosystem. Tronix ix an ERC20 token based on the Ethereum blockchain, acting as the basic unit of account on the platform. ",100000000000,,,26/09/2017,100000000000.0,"OKEX, Liqui, Yobit, HitBTC, Gatecoin, Gateio, Tidex, Binance, EtherDelta"
2048,ATFS Project,ATFS,"ATFS Project aims to create a decentralized AgriTech &amp; Food Science platform leveraging the Ethereum blockchain. The platform will support the development of a Smart Farm that will be powered by IoT technology, sensors, and analytic software. That technology will enable to automatically control the proper temperature, humidity, and sunlight for the nourishments just to name a few. Additionally, on the smart farm the team aims to produce Plant-based meat (vegetable protein) using biotechnology and synthetic biology.ATFS is an ERC-20 token that will benefit the users as shareholders of 20% of the ATFS LAB profits. ",380000000,,,27/10/2017,,
2049,Denarius,DNR,"Denarius is a PoW/PoS hybrid cryptocurrency based off the original Satoshi Core codebase.It uses: Tribus Proof-of-Work Hashing Algorithm featuring 3 of the top NIST5 algos (JH, Keccak, and Echo). ",10000000,NIST5,PoW/PoS,14/02/2017,2220373.0,"Cryptopia, Novaexchange"
2050,GridCoin,GRC,"GridCoin (GRC) is a coin with a mission - to compensate miners for participating in BOINC projects. The coin is a scrypt altcoin with difficulty retargetting every 30 minutes - a 2.5 minute block target and a hard cap of 168 million.Gridcoin introduces a Proof-of-Research algorithm that gives computers something productive to do. Instead of racing to solve meaningless equations, Gridcoin miners Researchers work on problems such as finding cures to diseases, mapping genomes, or climate studies, and are compensated for their work. Gridcoin is not limited to any one program, algorithm, or type of hardware. BOINC supports Windows, Mac OS X, Linux, and Android.",,Scrypt,DPoR,03/11/2013,390312753.0,"CCEX, Cryptopia, Poloniex, BitSquare, BitTrex"
2051,Clickcoin,CLICK,"ClickCoin was started as Yobit ICO. Only 225000 out of 1000000 coins were sold, the rest was burned by Yobit. The original developer abandoned the coin and it has been taken over by the community, old development fund address with 245000 user donated coins has been blocked via hardfork so old dev has no control on any significant CLICK amount anymore. ClickCoin is a Proof of Stake cryptocurrency.",,PoS,PoS,27/10/2015,,Yobit
2052,UnikoinGold,UKG,"Unikrn is an e-sports entertainment and betting platform that will leverage the Ethereum blockchain to provide the users an easier and efficient way to obtain e-sports products and services. The Unikrn platform already has one token (Unikoin) used to buy products and participate on the platform (it will be replaced by the UnikoinSilver token). The team is now planning to create a utility token named as UnikoinGold (UKG), that will ease the use of the reward system implemented to benefit users who bet on e-sports. Furthermore, UKG token will also be used on a new skill-based betting platform.",1000000000,,,25/09/2017,1000000000.0,"BitTrex, Kucoin, OKEX, EtherDelta"
2053,Caviar,CAV,"Caviar is a dual-purpose invesment fund created for crypto and real-estate, allowing token holders to ejoy a diversified, risk adjusted, data-driven portfolio with exposure to both stable real estate and select cryptocurrencies and crypto assets, maximizing return on investment while still hedging against market downturns. CAV is an Ethereum-based ERC20 token that allows real estate developers to raise money for projects through https://news.caviar.io/?gi=bdfb8b740d7a crowdfunding mechanism, while providing Caviar token holders and the underlying fund with an opportunity to participate in projects and earn a profit.",375000000,,,28/11/2017,,
2054,TrackNetToken,MTN,"Mytracknet is a global lost and found network that uses blockchain technology to incentivize paritipants for their contribution, while implementing a unified solution for every Bluetooth tracker in the market. MTN is a Waves-based asset used to reward those who help others recover lost items. Mytracknet is the winner of the Waves ico-hub competition.",100000000,,,16/10/2017,,
2055,Coin to the Future,BTTF,Coin to the Future is a pure Proof of Stake cryptocurrency created as a tribute to the Back to the Future movie.,1210000,PoS,PoS,01/01/0001,,Yobit
2056,Global Tour Coin,GTC*,"GTC is a decentralized and open-source cryptocurrency that offers privacy and selective transparency of transactions. GTC payments are published on a public blockchain, but the sender, recipient, and amount of a transaction remains private.GTC is based on peer-reviewed cryptographic research, and built on an open source platform based on battle-tested codebase. The ultimate goal is the addition of privacy. GTC uses advanced cryptographic techniques, namely zero-knowledge proofs, to guarantee the validity of transactions without revealing additional information about them.",91000000,Scrypt,,01/01/0001,,
2057,Phore,PHR*,Phore is a re-brand of the KryptKoin (KTK) and it&#39;s a PoS cryptocurrency based on the POS 3.0 algorithm.,18773269,POS 3.0,,23/10/2017,,Cryptopia
2058,STAC,STAC,"CoinStarters is a ICO platform that provides a user-friendly ​and ​intuitive ​platform fundraising ​tool for ​entrepreneurs, ​innovators ​and ​creators. StarterCoin is an Ethereum-based token that gives ​rights ​and ​privileges ​to ​their ​owners ​when ​using the ​CoinStarter ​platform ​and ​its ​family ​of ​services. It can be used to launch a crowdsale campaign.",301128956,,,23/11/2017,3.260204324364259e+26,
2059,VIP Tokens,VIP,VIP Tokens is a Pow/Pos Hybrid cryptocurrency that uses a combination of 5 encryption algorithms know as Nist5. VIP is designed to be an exclusive coin that will deliver high quality products to its members,90000000,NIST5,PoW/PoS,05/01/2016,83450403.0,Yobit
2060,TrezarCoin,TZC,"TrezorCoin is a proof of work cryptocurrency supporting multi-algo mining through PoS and PoW. It uses NeoScrypt PoW, Sha256d PoS and BLAKE2s for Blockhashing and has implemented 0% PoS by Ghostlander.",400000000,NeoScrypt,PoW/PoS,01/09/2017,88550300.0,"Cryptopia, Novaexchange"
2061,WePower,WPR,"WePower is a blockchain-based green energy trading platform. It connects energy buyers (households and investors) directly with the green energy producers and creates an opportunity to purchase energy upfront at below-market rates. WePower uses energy tokenization to standardize, simplify and open globally the currently existing energy investment ecosystem. Energy tokenization ensures liquidity and extends access to capital. Final consumers, investors, and energy market makers can buy energy for a reduced price. WePower is an ERC20 token on the Ethereum blockchain and it&#39;s the sole payment method of the WePower Network.",289000000,,,01/01/0001,,
2062,TittieCoin,TTC,TittieCoin is another coin attempting to sync up with the erotic industries - a scrypt proof of work crypto currency.,1000000,Scrypt,PoW,29/01/2014,0.0,"Cryptopia, Novaexchange, Yobit, Cryptsy"
2063,Musiconomi,MCI,"Musiconomi is a decentralized platform that allows artists, DJs, bloggers, promoters, listeners, and other entrepreneurial music enthusiasts to share and promote music. MIC it an Ethereum-based utility token used as the payment mechanism within the Musiconomi&#39;s platform. MIC is also used as a reward for users that contribute to the ecosystem. It is also used as a ‘staking’ mechanism whereby token holders are able to access tools and features of the platform.",100000000,,,10/07/2017,100000000.0,"EtherDelta, Cryptopia"
2064,SHIELD,XSH,"SHIELD is a PoW cryptocurrency based on multiple algorithms (Scrypt, x17, groestl, blake2s, &amp; lyra2rev2).",660000000,Multiple,PoW,03/10/2017,481680026.7930896,
